id,y,x
NA,43,29
NA,42,29
NA,41,29
NA,40,29
NA,39,29
NA,38,29
NA,37,29
NA,36,29
NA,35,29
NA,34,29
NA,33,29
NA,32,29
NA,31,29
NA,30,29
NA,29,29
NA,28,29
NA,27,29
NA,26,29
NA,25,29
NA,24,29
NA,23,29
NA,22,29
NA,21,29
NA,20,29
NA,19,29
NA,18,29
NA,17,29
NA,16,29
NA,15,29
K,14,29
K,13,29
K,12,29
K,11,29
Z,10,29
Z,9,29
K,8,29
K,7,29
K,6,29
K,5,29
NA,4,29
NA,3,29
NA,2,29
NA,1,29
NA,48,30
NA,47,30
NA,46,30
NA,45,30
NA,44,30
NA,43,30
NA,42,30
NA,41,30
NA,40,30
NA,39,30
NA,38,30
NA,37,30
NA,36,30
NA,35,30
NA,34,30
NA,33,30
NA,32,30
NA,31,30
NA,30,30
NA,29,30
NA,28,30
NA,27,30
NA,26,30
NA,25,30
NA,24,30
NA,23,30
NA,22,30
NA,21,30
NA,20,30
NA,19,30
NA,18,30
NA,17,30
NA,16,30
NA,15,30
K,14,30
K,13,30
K,12,30
K,11,30
Z,10,30
Z,9,30
Z,8,30
K,7,30
K,6,30
NA,5,30
NA,4,30
NA,3,30
NA,2,30
NA,1,30
NA,48,31
NA,47,31
NA,46,31
NA,45,31
NA,44,31
NA,43,31
NA,42,31
NA,41,31
NA,40,31
NA,39,31
NA,38,31
NA,37,31
NA,36,31
NA,35,31
NA,34,31
NA,33,31
NA,32,31
NA,31,31
NA,30,31
NA,29,31
NA,28,31
NA,27,31
NA,26,31
NA,25,31
NA,24,31
NA,23,31
NA,22,31
NA,21,31
NA,20,31
NA,19,31
NA,18,31
NA,17,31
NA,16,31
NA,15,31
Z,14,31
Z,13,31
Z,12,31
Z,11,31
Z,10,31
NA,9,31
Z,8,31
K,7,31
NA,6,31
NA,5,31
NA,4,31
NA,3,31
NA,2,31
NA,1,31
NA,48,32
NA,47,32
NA,46,32
NA,45,32
NA,44,32
NA,43,32
NA,42,32
NA,41,32
NA,40,32
NA,39,32
NA,38,32
NA,37,32
NA,36,32
NA,35,32
NA,34,32
NA,33,32
NA,32,32
NA,31,32
NA,30,32
NA,29,32
NA,28,32
NA,27,32
NA,26,32
NA,25,32
NA,24,32
NA,23,32
NA,22,32
NA,21,32
NA,20,32
NA,19,32
NA,18,32
NA,17,32
NA,16,32
NA,15,32
NA,14,32
Z,13,32
Z,12,32
NA,11,32
NA,10,32
NA,9,32
NA,8,32
NA,7,32
NA,6,32
NA,5,32
NA,4,32
NA,3,32
NA,2,32
NA,1,32
NA,48,33
NA,47,33
NA,46,33
NA,45,33
NA,44,33
NA,43,33
NA,42,33
NA,41,33
NA,40,33
NA,39,33
NA,38,33
NA,37,33
NA,36,33
NA,35,33
NA,34,33
NA,33,33
NA,32,33
NA,31,33
NA,30,33
NA,29,33
NA,28,33
NA,27,33
NA,26,33
NA,25,33
NA,24,33
NA,23,33
NA,22,33
NA,21,33
NA,20,33
NA,19,33
NA,18,33
NA,17,33
NA,16,33
NA,15,33
NA,14,33
NA,13,33
NA,12,33
NA,11,33
NA,10,33
NA,9,33
NA,8,33
NA,7,33
NA,6,33
NA,5,33
NA,4,33
NA,3,33
NA,2,33
NA,1,33
NA,48,34
NA,47,34
NA,46,34
NA,45,34
NA,44,34
NA,43,34
NA,42,34
NA,41,34
NA,40,34
NA,39,34
NA,38,34
NA,37,34
NA,36,34
NA,35,34
NA,34,34
NA,33,34
NA,32,34
NA,31,34
NA,30,34
NA,29,34
NA,28,34
NA,27,34
NA,26,34
NA,25,34
NA,24,34
NA,23,34
NA,22,34
NA,21,34
NA,20,34
NA,19,34
NA,18,34
NA,17,34
NA,16,34
NA,15,34
NA,14,34
NA,13,34
NA,12,34
NA,11,34
NA,10,34
NA,9,34
NA,8,34
NA,7,34
NA,6,34
NA,5,34
NA,4,34
NA,3,34
NA,2,34
NA,1,34
